,sedentary,LPA,MPA,VPA,steps,active
532,1229,194,12,5,0.0,0
533,1253,187,0,0,0.0,0
534,1203,186,38,13,0.0,0
535,1225,181,22,12,0.0,0
536,1421,19,0,0,0.0,0
537,1217,201,18,4,0.0,0
538,1328,112,0,0,0.0,0
539,1419,9,1,11,0.0,0
540,1259,181,0,0,0.0,0
541,1190,240,2,8,0.0,0
542,1248,154,22,16,0.0,0
543,1438,2,0,0,0.0,0
544,1278,162,0,0,0.0,0
545,1336,104,0,0,0.0,0
546,1277,106,13,44,0.0,0
547,1124,217,66,33,0.0,0
548,1431,9,0,0,0.0,0
549,1440,0,0,0,0.0,0
550,1440,0,0,0,0.0,0
551,1440,0,0,0,0.0,0
552,1440,0,0,0,0.0,0
553,1440,0,0,0,0.0,0
554,1440,0,0,0,0.0,0
555,1440,0,0,0,0.0,0
556,1440,0,0,0,0.0,0
557,1440,0,0,0,0.0,0
558,1440,0,0,0,0.0,0
559,1440,0,0,0,0.0,0
560,1440,0,0,0,0.0,0
561,1440,0,0,0,0.0,0
562,1440,0,0,0,0.0,0
563,1440,0,0,0,0.0,0
564,1440,0,0,0,0.0,0
565,1440,0,0,0,0.0,0
566,1440,0,0,0,0.0,0
567,1440,0,0,0,0.0,0
568,1440,0,0,0,0.0,0
569,1440,0,0,0,0.0,0
570,1440,0,0,0,0.0,0
571,1440,0,0,0,0.0,0
572,1440,0,0,0,0.0,0
573,1440,0,0,0,0.0,0
574,1440,0,0,0,0.0,0
575,1440,0,0,0,0.0,0
576,1440,0,0,0,0.0,0
577,1217,147,67,9,0.0,0
578,934,59,0,0,0.0,0
579,1440,0,0,0,0.0,0
580,1440,0,0,0,0.0,0
581,1440,0,0,0,0.0,0
582,1440,0,0,0,0.0,0
583,1434,6,0,0,0.0,0
584,1440,0,0,0,0.0,0
585,1440,0,0,0,0.0,0
586,1440,0,0,0,0.0,0
587,1440,0,0,0,0.0,0
588,1440,0,0,0,0.0,0
589,1440,0,0,0,0.0,0
590,1440,0,0,0,0.0,0
591,1440,0,0,0,21596.0,4
592,1440,0,0,0,11560.0,3
593,1440,0,0,0,2609.0,0
594,1440,0,0,0,16007.0,4
595,1440,0,0,0,7604.0,2
596,1440,0,0,0,11893.0,3
597,1440,0,0,0,22653.0,4
598,1440,0,0,0,21624.0,4
599,1440,0,0,0,17960.0,4
600,1440,0,0,0,17195.0,4
601,1440,0,0,0,8115.0,2
602,1440,0,0,0,14344.0,4
603,806,571,31,32,13874.0,4
604,488,334,42,19,20110.0,4
605,731,211,34,32,14164.0,4
606,628,325,8,47,7667.0,2
607,691,221,38,54,8142.0,2
608,645,275,97,6,15265.0,4
609,286,556,81,32,11528.0,3
610,399,595,14,14,13374.0,2
611,410,527,14,22,19946.0,4
612,513,254,21,77,3324.0,0
613,814,177,17,20,8883.0,2
614,601,206,41,81,6033.0,1
615,655,297,29,33,8470.0,2
616,654,182,60,119,6579.0,1
617,673,258,25,46,22884.0,4
618,527,290,13,6,10954.0,1
619,593,272,27,35,4630.0,0
620,697,228,21,69,25631.0,4
621,764,150,14,67,12004.0,3
622,693,189,15,70,21262.0,4
623,386,513,87,26,13750.0,4
624,823,193,0,0,15139.0,4
625,563,251,5,35,19862.0,4
626,667,202,6,6,17849.0,1
627,660,223,37,34,16941.0,4
628,746,196,4,6,3350.0,0
629,305,621,28,35,8428.0,2
630,431,426,35,41,7402.0,1
631,666,181,12,22,3549.0,0
632,527,510,49,61,8897.0,2
633,650,293,25,52,3790.0,0
634,410,559,16,20,17923.0,4
635,632,274,30,56,11288.0,3
636,536,473,0,0,17595.0,4
637,332,517,26,35,8429.0,2
638,269,502,41,11,6572.0,1
639,440,518,20,20,27995.0,4
640,684,191,7,13,17121.0,2
641,751,232,3,7,15798.0,1
642,740,184,7,29,3500.0,0
643,729,219,3,9,18569.0,1
644,740,171,17,38,7673.0,2
645,683,213,0,0,15611.0,4
646,285,569,60,18,14725.0,4
647,696,184,14,68,8693.0,2
648,354,528,51,10,6316.0,1
649,430,415,17,0,7784.0,1
650,703,243,17,28,15459.0,4
651,235,605,47,53,11648.0,3
652,422,512,37,33,8299.0,2
653,469,487,5,9,12397.0,1
654,664,226,0,0,25173.0,4
655,553,316,31,69,17569.0,4
656,736,251,6,3,9128.0,2
657,532,429,14,28,10607.0,3
658,594,258,27,64,11421.0,3
659,687,226,12,19,9089.0,2
660,653,292,3,7,16862.0,1
661,585,258,7,16,11262.0,2
662,672,236,30,74,9743.0,2
663,703,215,12,35,17863.0,4
664,717,186,16,43,7847.0,2
665,672,243,31,38,7334.0,1
